Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
mellegue,مـــــلاق,0.029412,1,0.1,11.3447,0.892206,28.9154,1.5048,26.2432,12.6216,34.8373,113.776,21.2917,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2021-03-16 00:00:00
benmetir,بنيمطيــر,0.0,2,0.0756,22.4962,0.0603526,12.8741,1.1728,13.994,7.20793,10.5687,33.4967,39.9327,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2021-03-16 00:00:00
kasseb,كســاب,0.0206339,3,0.046656,38.2943,0.157311,19.7138,0.761448,17.9637,7.47992,10.236,34.59,51.3231,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2021-03-16 00:00:00
barbara,بربرة,0.0310641,4,0.070425,64.6688,0.808131,35.8852,0.90785,15.7648,11.9027,18.6193,67.2191,65.0141,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2021-03-16 00:00:00
sidisalem,سيدي ســــالم,0.0,5,0.64337,285.232,3.12059,114.079,10.2939,116.812,72.7512,134.741,284.182,447.56,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2021-03-16 00:00:00
bouheurtma,بو هرتمـــــه,0.0334512,6,0.2471,31.4422,0.730539,23.4744,2.93458,27.0724,14.2708,26.9354,62.3765,53.2763,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2021-03-16 00:00:00
joumine,جوميــــــن,0.0453145,7,0.300654,46.8869,1.11753,31.8793,2.61483,13.4542,12.5586,25.6565,60.7166,53.737,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2021-03-16 00:00:00
ghezala,غزالـــــــة,0.00369899,8,0.0028,6.28332,0.12122,2.2482,0.1309,0.8372,1.56608,2.66759,7.49266,8.00378,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2021-03-16 00:00:00
melah,المالح,0.0363357,33,0.04965,12.5288,0.0677841,6.25925,0.77047,5.44644,5.89,8.87215,20.25,29.568,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2021-03-16 00:00:00
tine,الطين,0.0261116,34,0.0,8.2777,0.0803587,4.5516,0.0,5.15574,2.18,,14.2752,,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2021-03-16 00:00:00
sejnane,سجنــــــان,0.00663723,9,0.356272,94.5549,1.40117,77.4956,7.12632,113.499,16.7054,52.9315,102.487,94.6166,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2021-03-16 00:00:00
zarga,الزرقة,0.0,10,0.0222,17.648,0.0200613,5.74409,0.174,3.5915,3.41,18.4871,17.63,22.618,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2021-03-16 00:00:00
kebir,الكبير,0.0311584,31,0.0,5.924,0.158527,13.1341,0.0,11.6624,5.17428,11.4097,32.8518,6.1672,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2021-03-16 00:00:00
moula,المولى,0.0164022,32,0.0,26.1789,0.0449606,12.3445,0.0,10.2607,3.48188,7.96397,27.9661,26.3226,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2021-03-16 00:00:00
