transaction_id,date,client_id,montant,type,statut
1,2023-10-19,1089,4178.28,retrait,valide
2,2023-12-04,1074,6466.56,paiement,valide
3,2023-11-16,1010,3042.68,depot,valide
4,2023-08-29,1087,6498.29,virement,valide
5,2023-08-13,1070,2977.71,depot,valide
6,2023-09-24,1035,9173.69,paiement,valide
7,2023-12-13,1093,1708.46,paiement,valide
8,2024-01-04,1018,1025.92,virement,valide
9,2023-09-03,1077,3999.61,retrait,valide
10,2023-09-16,1026,4783.37,depot,valide
11,2023-10-21,1083,4546.84,retrait,valide
12,2024-01-11,1057,2308.99,retrait,rejete
13,2023-12-05,1095,2808.01,paiement,rejete
14,2023-12-29,1025,3628.73,depot,valide
15,2023-11-01,1061,5764.32,paiement,valide
16,2024-02-05,1048,3374.87,virement,valide
17,2023-09-25,1036,4815.35,depot,valide
18,2023-11-20,1044,2706.64,paiement,valide
19,2023-10-15,1038,4505.26,retrait,valide
20,2023-08-02,1070,1869.55,virement,valide
21,2023-10-30,1065,5126.42,paiement,valide
22,2023-09-28,1091,3864.19,retrait,valide
23,2023-11-09,1028,2976.38,depot,valide
24,2024-01-15,1033,5482.91,virement,valide
25,2023-12-20,1079,4123.75,paiement,valide
26,2023-08-17,1052,3591.64,retrait,valide
27,2023-10-12,1015,2847.93,depot,valide
28,2023-09-21,1062,6721.48,paiement,valide
29,2023-11-28,1029,3158.47,virement,valide
30,2023-08-09,1084,4289.36,depot,valide
31,2023-12-08,1047,2935.21,retrait,valide
32,2024-01-22,1073,5874.69,paiement,rejete
33,2023-09-14,1060,4137.82,virement,valide
34,2023-10-27,1022,3692.54,retrait,valide
35,2023-08-21,1056,2475.18,depot,valide
36,2023-11-13,1082,5923.47,paiement,valide
37,2023-12-18,1019,3748.92,virement,valide
38,2023-09-07,1041,2867.35,retrait,valide
39,2023-10-09,1031,4576.23,depot,valide
40,2023-08-05,1068,3914.67,paiement,valide
